單字,翻譯
representative,(adj.)代表性的、典型的
repress,(v.)抑制、鎮壓
reproduce,(v.)繁殖、複製
reptile,(adj.)爬行動物(似)的
reptile,(n.)爬行動物、爬蟲類
republic,(n.)共和國、共和政體
republican,(n.)共和主義者
republican,(adj.)共和政體的
reputation,(n.)名譽、名聲
request,(n.)要求、請求
request,(v.)請求給予
require,(v.)需要
requirement,(n.)需要、必需品
rescue,(n.)援救、營救
rescue,(v.)援救、營救
research,(n.)(學術)研究、調查、探究
research,(v.)調查、探究
researcher,(n.)研究員、調查者
resemblance,(n.)相似
resemble,(v.)像、類似
resent,(v.)憤慨、怨恨
resentment,(n.)憤慨、怨恨
reservation,(n.)保留(意見)、預訂的房間(或席座)
reserve,(v.)儲備、保存、保留
reserve,(n.)儲備(物)、儲備金、保留(物)、儲藏量
reservoir,(n.)蓄水庫、貯水池
reside,(v.)居住、駐在
residence,(n.)住所、住宅
resident,(n.)居民、住院醫生
resident,(adj.)居住的、定居的、常駐的
residential,(adj.)居住的、住宅的
resign,(v.)放棄、辭去
resignation,(n.)辭職、放棄
resist,(v.)抵抗、反抗、抗拒
resistance,(n.)抵抗、反抗
resistant,(adj.)抵抗的
resolute,(adj.)堅決的、不屈不撓的
resolution,(n.)決心、決定、解決
resolve,(v.)解決、解答、使分解
resolve,(n.)決心、決意、堅決、剛毅、果斷
resort,(v.)訴諸、憑藉
resort,(n.)休閒度假之處、名勝
resource,(n.)資源、物力、財力
respect,(n.)尊敬
respect,(v.)尊敬
respectable,(adj.)值得尊敬的、體面的
respectful,(adj.)恭敬的、尊敬人的
respective,(adj.)分別的、各自的
respond,(v.)作答、回答
response,(n.)回答、答覆
responsibility,(n.)責任
responsible,(adj.)負責任的
rest,(v.)休息
rest,(n.)休息、靜止、安息、休止符、其餘
restaurant,(n.)餐廳
restoration,(n.)恢復、復辟、修復、重建、歸還
restore,(v.)恢復
restrain,(v.)抑制、約束
restraint,(n.)克制、控制、管押
restrict,(v.)限制、限定、約束
restriction,(n.)限制、約束、限定、限制規定
restroom,(n.)廁所
restroom,(n.)廁所
result,(v.)發生、產生、結果、導致
result,(n.)結果
resume,(v.)重新開始、繼續、恢復
resume,(n.)(個人)簡歷
retail,(n.)零售
retail,(adv.)以零售方式、以零售價格
retail,(v.)以零售方式、以零售價格
retail,(adj.)零售的
retain,(v.)保留、保持
retaliate,(v.)報復
retire,(v.)退休、退役
retirement,(n.)退休
retort,(n.)回嘴、反駁
retort,(v.)反駁、回嘴
retreat,(n.)撤退
retreat,(v.)撤退、退卻
retrieve,(v.)收回、檢索、使恢復
return,(n.)回答、收益、利息、來回票、退貨
return,(v.)回、還
reunion,(n.)團聚、重聚
reveal,(v.)展現、顯露出
revelation,(n.)揭示、顯示、天啟
revenge,(n.)報仇、報復
revenge,(v.)替...報仇
revenue,(n.)(國家的)歲入、稅收
reverse,(adj.)顛倒的、相反的、反向的
reverse,(n.)相反、反面、反向
reverse,(v.)翻轉、倒退、反向
review,(v.)溫習、回顧
review,(n.)復習
revise,(v.)校訂、更改
revision,(n.)修訂、校訂、修正
revival,(n.)甦醒、再生、復興
revive,(v.)復甦、恢復生機、使甦醒
revolt,(n.)反叛、起義、反感
revolt,(v.)反叛、起義、使反感
revolution,(n.)革命、循環
revolutionary,(adj.)革命的
revolutionary,(n.)革命者
revolve,(v.)旋轉、自轉、以...為中心
reward,(n.)報答、報償、獎賞
reward,(v.)酬謝、獎勵
rhetoric,(n.)修辭、修辭學、辭令
rhino,(n.)犀牛
rhinoceros,(n.)犀牛
rhyme,(n.)韻、韻腳
rhyme,(v.)押韻
rhythm,(n.)節奏、韻律
rhythmic,(adj.)有節奏的、有韻律的
rib,(v.)裝肋於、嘲弄
rib,(n.)肋骨、排骨
ribbon,(n.)緞帶、絲帶
rice,(n.)稻米、飯
rich,(adj.)富有的
riches,(n.)財富、財產、富有、豐饒
rid,(v.)使免除、使擺脫、從...清除
riddle,(n.)謎、謎語
ride,(n.)搭乘、兜風
ride,(v.)騎、乘
ridge,(v.)使成脊狀
ridge,(n.)屋脊、山脈、(狹長的)隆起部
ridicule,(n.)嘲笑、揶揄、奚落
ridicule,(v.)嘲笑、戲弄
ridiculous,(adj.)可笑的、荒謬的、滑稽的
rifle,(v.)洗劫、劫掠
rifle,(n.)步槍、來福槍
right,(n.)公理、權利
right,(adj.)右邊、對的
right,(adv.)向右地、馬上
rigid,(adj.)堅硬的、嚴格的、死板的
rigorous,(adj.)嚴格的、嚴厲的、嚴密的
rim,(n.)(尤指圓形物的)邊緣
rim,(v.)形成邊緣、顯出邊緣
ring,(v.)(鐘、鈴等)鳴、響
ring,(n.)指環、鈴聲
riot,(n.)暴亂、騷亂、狂歡
riot,(v.)參加(或發動)暴亂、放縱
rip,(v.)撕、扯
rip,(n.)裂口
ripe,(adj.)成熟的
ripple,(n.)漣漪、細浪、波紋
ripple,(v.)起漣漪、(頭髮等)呈波狀
rise,(n.)(數量、程度等)增加、上漲、上升
rise,(v.)起身、升起
risk,(n.)危險、風險
risk,(v.)冒...的風險
rite,(n.)儀式、慣例
ritual,(adj.)(宗教)儀式的、典禮的
ritual,(n.)儀式、典禮、老規矩
rival,(n.)競爭者、對手、敵手
rival,(v.)與...競爭、比得上
rivalry,(n.)(競爭或對抗)行為
river,(n.)河流
roach,(n.)蟑螂
road,(n.)道路
roam,(n.)漫步、漫遊、流浪
roam,(v.)漫步、漫遊、流浪
roar,(v.)吼叫、大聲叫喊、狂笑
roar,(n.)吼、嘯、怒號、喧鬧聲
roast,(n.)烘烤、烤肉
roast,(v.)烤、炙、烘
roast,(adj.)烘烤的
rob,(v.)搶劫
robber,(n.)搶劫者、強盜
robbery,(n.)搶劫、盜取、搶劫案
robe,(v.)使穿上禮服
robe,(n.)長袍、浴衣、睡袍、學士服
robin,(n.)知更鳥
robot,(n.)機器人
robust,(adj.)強健的、健全的、結實的
rock,(v.)搖動
rock,(n.)岩石、搖滾樂
rocket,(n.)飛彈、火箭
rocket,(v.)用火箭運載、飛快行進
rocky,(adj.)岩石的、多岩石的
rod,(n.)棒、桿、竿
role,(n.)角色
roll,(v.)捲、滾
roll,(n.)滾動、(一)捲、捲餅、隆隆聲、名單
romance,(n.)戀愛、風流韻事、愛情小說
romantic,(n.)浪漫的人、愛幻想者
romantic,(adj.)富於浪漫色彩的
roof,(n.)屋頂
roof,(v.)給...蓋屋頂、覆蓋
room,(v.)居住、 為...提供住處
room,(n.)房間
rooster,(n.)雄雞、狂妄自負的人
root,(v.)使生根、使紮根
root,(n.)根
rope,(v.)捆、紮、縛、綁
rope,(n.)粗繩
rose,(n.)玫瑰
rot,(v.)腐爛、腐壞、腐朽、破損
rot,(n.)腐爛、腐壞、腐敗、墮落
rotate,(v.)旋轉、輪流
rotation,(n.)旋轉、自轉、輪流
rotten,(adj.)腐爛的、發臭的
rough,(adv.)粗糙地、粗略地
rough,(v.)使不平、使粗糙、草擬、粗魯行事
rough,(adj.)粗糙的、表面不平的
rough,(n.)高低不平的地面、粗製品、梗概、草圖
roughly,(adv.)粗糙地、粗暴地、大約
round,(adv.)環繞地、循環地、在附近、逐一、挨次
round,(adj.)圓形的
round,(v.)變圓、發胖、兜圈子、環行
round,(n.)一輪、一回合、一場、一局、圓形物
round,(prep.)圍繞、環繞、在...附近、大約
route,(v.)給...定路線
route,(n.)路、路線、路程
routine,(adj.)日常的、例行的、常規的
routine,(n.)例行公事
row,(n.)行列
row,(v.)划船
royal,(adj.)皇家的
royalty,(n.)(總稱)皇族或王族、王位、專利權稅
rub,(n.)摩擦、擦、阻難、疑難點
rub,(v.)磨擦
rubber,(n.)橡膠
rubbish,(n.)垃圾、廢物
ruby,(n.)紅寶石、暗紅色
ruby,(adj.)紅寶石色的
rude,(adj.)無禮的
rug,(n.)小地毯、毛皮地毯
rugged,(adj.)高低不平的、粗糙的、粗線條的
ruin,(v.)毀滅
ruin,(n.)毀滅、崩潰、廢墟、傾家蕩產
rule,(n.)規則
rule,(v.)統治、裁決
ruler,(n.)尺、統治者
rumble,(n.)隆隆聲、轆轆聲
rumble,(v.)(雷等)隆隆響、(車輛)轆轆行駛
rumor,(n.)謠言、謠傳
rumor,(v.)謠傳、傳說
run,(v.)跑
runner,(n.)賽跑者、逃亡者
rural,(adj.)農村的、田園的
rush,(n.)急速行動、(交通等的)繁忙、搶購
rush,(v.)催促、急送
rust,(n.)鏽、鐵鏽
rust,(v.)生鏽
rustle,(n.)沙沙聲、窸窣聲
rustle,(v.)(樹葉、紙等)沙沙作響、使沙沙作響
rusty,(adj.)生鏽的
sack,(n.)袋、粗布袋
sacred,(adj.)神的、神聖的
sacrifice,(n.)牲禮、祭品
sacrifice,(v.)犧牲、獻出
sad,(adj.)難過的
saddle,(v.)給(馬背)裝鞍、使負擔
saddle,(n.)馬鞍、(自行車、摩托車的)車座
safe,(adj.)安全的
safe,(n.)保險箱
safeguard,(n.)保護、防衛、預防措施
safeguard,(v.)保護、防衛
safety,(n.)安全
sail,(v.)航行
sail,(n.)帆、篷、帆狀物、船隻
sailor,(n.)水手
saint,(v.)使成為聖徒
saint,(n.)聖徒、道德崇高的人
sake,(n.)理由、緣故、利益
salad,(n.)沙拉
salary,(v.)給...薪水
salary,(n.)薪資、薪水
sale,(n.)售賣、賤賣
salesman,(n.)售貨員
salesperson,(n.)店員、售貨員
saleswoman,(n.)女店員、售貨員
salmon,(n.)鮭魚、鮭肉、鮭肉色
salmon,(adj.)鮭肉色的、淺澄色的
saloon,(n.)(旅館、輪船等的)大廳、酒館
salt,(v.)給...加鹽、用鹽醃
salt,(adj.)鹹水的、含鹽的、(故事、笑話等)猥褻的
salt,(n.)鹽
salty,(adj.)有鹽分的、鹹味濃的
salute,(v.)向...行禮、向...致敬
salute,(n.)敬禮、致敬、致意
salvation,(n.)拯救、救星、救世
same,(adj.)相同的
same,(adv.)同樣地
sample,(n.)樣品
sample,(v.)取...的樣品、抽樣檢查
sanction,(n.)國際制裁
sanction,(v.)對...實施制裁
sanctuary,(n.)聖所、聖殿、庇護所
sand,(v.)磨光、以沙堵塞
sand,(n.)沙
sandal,(n.)涼鞋、拖鞋
sandwich,(n.)三明治
sandwich,(v.)將..夾在中間、擠進
sane,(adj.)神志正常的、頭腦清楚的
sanitation,(n.)公共衛生、衛生設備
satellite,(n.)衛星
satisfaction,(n.)滿意、滿足
satisfactory,(adj.)令人滿意的
satisfy,(v.)使滿意
sauce,(v.)給...加調味汁
sauce,(n.)調味醬、醬汁
saucer,(n.)淺碟
sausage,(n.)香腸、臘腸
savage,(n.)野蠻人
savage,(adj.)野性的、兇猛的、殘酷的
savage,(v.)兇猛地攻擊、激烈抨擊
save,(v.)救、省、存錢
saving,(n.)挽救、節儉、節約、儲金
saw,(v.)鋸、鋸開
saw,(n.)鋸子、鋸條
say,(v.)說
scale,(n.)尺度、等級、級別
scan,(v.)細看、審視
scan,(n.)掃描
scandal,(n.)醜聞、醜事
scar,(n.)疤、(物品等的)損傷痕
scar,(v.)結疤、留下傷痕
scarce,(adj.)缺乏的、不足的
scarcely,(adv.)幾乎不、幾乎沒有
scare,(v.)驚嚇、使恐懼
scare,(n.)驚恐、驚嚇
scarecrow,(n.)稻草人、威嚇物
scarf,(n.)圍巾
scary,(adj.)膽小的、提心吊膽的
scatter,(n.)消散、分散
scatter,(v.)使分散、使潰散
scene,(n.)景色、場面
scenery,(n.)風景
scenic,(adj.)風景的、景色秀麗的
scent,(v.)嗅、聞
scent,(n.)氣味、香味、蹤跡
schedule,(n.)清單、目錄、時間表、課程表
schedule,(v.)安排、將……列入計畫（或時間）表
scheme,(v.)策劃、密謀
scheme,(n.)計劃、方案
scholar,(n.)學者
scholarship,(n.)獎學金
school,(n.)學校
school,(v.)教育、訓練
science,(n.)科學
scientific,(adj.)科學的
scientist,(n.)科學家
scissors,(n.)剪刀
scold,(n.)責罵
scold,(v.)罵、責罵
scoop,(v.)用勺舀、挖空、挖出
scoop,(n.)勺子、戽斗
scope,(n.)範圍、領域
score,(n.)得分、 二十、 刻痕、 樂譜
score,(v.)得分
scorn,(n.)輕蔑、嘲笑
scorn,(v.)輕蔑、藐視
scout,(n.)斥候、童子軍
scout,(v.)偵察、搜索、嘲笑、嘲弄
scramble,(n.)爬行、攀登、爭奪
scramble,(v.)攀爬、雜亂蔓延、爭奪
scrap,(v.)將...作為廢物、將...拆毀
scrap,(n.)碎片、小塊、破爛
scrape,(n.)刮、擦、擦傷、擦痕
scrape,(v.)刮、擦、勉強過日子
scratch,(v.)抓、搔
scratch,(n.)抓痕、擦傷
scream,(v.)尖叫、放聲大哭
scream,(n.)尖叫、尖銳刺耳的聲音
screen,(v.)篩選、放映電影
screen,(n.)屏、銀幕
screw,(v.)(用螺釘等)固定、扭歪(臉等)
screw,(n.)螺釘、螺絲釘
screwdriver,(n.)螺絲刀、螺絲起子
script,(v.)把...改編為劇本
script,(n.)筆跡、(戲劇、廣播等的)腳本
scroll,(n.)卷軸、渦卷形裝飾
scroll,(v.)使成卷形、用渦卷飾裝飾
scrub,(n.)擦洗、擦淨
scrub,(v.)用力擦洗、揉
sculptor,(n.)雕刻家
sculpture,(n.)雕刻品、雕塑品、雕
sculpture,(v.)雕刻
sea,(n.)海
seagull,(n.)海鷗
seal,(v.)封、密封、蓋章
seal,(n.)圖章、印信、封(印)
search,(v.)搜尋、搜查
search,(n.)搜查、搜尋、檢查、探索、調查
season,(n.)季節
seat,(v.)使就座
seat,(n.)座位
second,(n.)第二、秒
second,(adv.)居第二位、第二、其次
second,(adj.)第二的、次要的、副的、從屬的
secondary,(adj.)第二的、次要的
secret,(n.)秘密
secret,(adj.)神祕的、奧祕的
secretary,(n.)秘書
section,(n.)節、斷面
section,(v.)把...分成段(或組等)、將...切片
sector,(n.)扇形、扇形面部分、部門
secure,(v.)把...弄牢、關緊
secure,(adj.)安全的牢固的
security,(n.)安全、保安、保障、證券、債券證券、債券
seduce,(v.)誘惑、引誘
see,(v.)看見
seed,(v.)(植物)結實、結子、播種
seed,(n.)種子
seek,(v.)尋覓
seem,(v.)似乎是
seesaw,(v.)玩蹺蹺板、上下(來回)搖動
seesaw,(n.)蹺蹺板
segment,(n.)部分、部門、切片
segment,(v.)分割、切成片
seize,(v.)抓住、捉住、沒收、扣押
seldom,(adv.)很少地
select,(adj.)精選的、卓越的
select,(v.)挑選
selection,(n.)選擇、選拔、選集、文選
selective,(adj.)有選擇性的
self,(n.)自身、自己、自我
selfish,(adj.)自私的
sell,(v.)賣
semester,(n.)學期
seminar,(n.)專題討論(課或會議)
senator,(n.)參議員
send,(v.)寄發、送
senior,(n.)資深人士、(大學)四年級生
senior,(adj.)年資較深的、四年級生的
sensation,(n.)感覺、知覺、轟動
sense,(v.)意識到、了解、領會
sense,(n.)感官、官能
sensible,(adj.)有知覺的、明顯的
sensitive,(adj.)敏感的、易受傷害的
sensitivity,(n.)敏感性、感受性
sentence,(n.)句子
sentence,(v.)宣判、判決
sentiment,(n.)感情、情緒、感傷
sentimental,(adj.)情深的、情感、多愁善感的
separate,(adj.)單獨的、個別的
separate,(v.)分隔
separation,(n.)分開、分離
sequence,(v.)排序
sequence,(n.)連續、一連串、次序
serene,(adj.)安詳的、寧靜的
serenity,(n.)晴朗、平靜、沈著
sergeant,(n.)中士、警官
series,(n.)連續、系列
serious,(adj.)嚴肅的、嚴重的、認真的
sermon,(n.)佈道、說教
servant,(n.)雇工
serve,(v.)服務
server,(n.)侍者、伺服器
service,(v.)維修、保養
service,(n.)服務
serving,(n.)服務、侍候、(食物、飲料等)一份
session,(n.)開庭、會期、講習會
set,(v.)安放、沒入
set,(n.)套、組
setback,(n.)挫折、倒退
setting,(n.)安裝、設定、鑲嵌、背景
settle,(v.)安放、安頓、解決(問題等)
settlement,(n.)解決、清算、定居
settler,(n.)殖民者、開拓者
seven,(n.)七
seven,(adj.)七的
seventeen,(n.)十七
seventeen,(adj.)十七的
seventy,(adj.)七十的
seventy,(n.)七十
several,(adj.)幾個的
severe,(adj.)嚴重的、劇烈的
sew,(v.)縫製、縫補
sewer,(n.)污水管、下水道
sex,(n.)性別、色情、性交、性慾、性感
sexual,(adj.)兩性的、關於性關係的、性慾的
sexy,(adj.)性感的
shabby,(adj.)破爛的、破舊的、邋遢的
shade,(v.)遮蔽、蔽蔭
shade,(n.)蔭、陰涼處、陰暗
shadow,(v.)使變暗、使陰鬱
shadow,(n.)蔭、陰暗處、影子
shady,(adj.)靠不住的、名聲不好的
shake,(v.)搖動、握(手)
shake,(n.)搖動、奶昔
shall,(v.)將、應該
shallow,(adj.)淺的
shame,(n.)羞恥(心)、羞愧(感)
shame,(v.)使感到羞恥
shameful,(adj.)可恥的、丟臉的
shampoo,(v.)洗(頭髮)、洗(地毯等)
shampoo,(n.)洗髮精
shape,(v.)使成形、塑造、製作
shape,(n.)形狀
share,(n.)股份、市場佔有率、分攤、貢獻
share,(v.)分享
shark,(n.)鯊魚
sharp,(adj.)尖銳的、敏銳的
sharp,(adv.)整(指時刻)、銳利地、機警地
sharpen,(v.)削尖、磨快
shatter,(v.)粉碎、砸碎
shave,(v.)刮(鬍子等)、修剪
shave,(n.)剃刀、刮鬍刀、修面
shaver,(n.)理髮師
shed,(n.)分水嶺、小屋、堆房
shed,(v.)流出、毛髮等脫落、蛻(殼等)
sheep,(n.)綿羊
sheer,(adv.)全然、十足地、陡峭地
sheer,(adj.)全然的、(紡織物)極薄的、陡峭的
sheet,(n.)一張(紙)、床單
shelf,(n.)架子
shell,(v.)剝...的殼、砲轟、射擊
shell,(n.)殼、果殼、貝殼
shelter,(n.)遮蓋物、避難所
shelter,(v.)遮蔽、庇護
shepherd,(n.)牧羊人
sheriff,(n.)警長
shield,(v.)保護、庇護、掩蓋
shield,(n.)盾、保護者、擋板
shift,(n.)移動
shift,(v.)轉移、移動
shilling,(n.)先令
shine,(n.)光、光亮、光澤、擦亮、陽光、晴天
shine,(v.)照耀
shiny,(adj.)晴朗的、有光澤的
ship,(v.)用船運、郵寄、解雇、上船、乘船
ship,(n.)船
shirt,(n.)襯衫
shiver,(v.)發抖、打顫
shiver,(n.)顫抖、寒顫
shock,(v.)使震動
shock,(n.)震驚
shocked,(adj.)震驚的
shoe,(n.)鞋子
shoot,(v.)注射、射擊、拍攝
shoot,(n.)幼芽、幼枝、狩獵(隊)、射擊、拍攝
shop,(n.)商店
shop,(v.)購物
shoplift,(v.)冒充顧客在商店內偷竊
shore,(n.)岸邊
short,(adj.)矮的、短的
shortage,(n.)缺少、不足、匱乏
shortcoming,(n.)缺點、短處
shorten,(v.)使變短、縮短
shortly,(adv.)立刻、馬上、簡短地、扼要地
shorts,(n.)短褲
shortsighted,(adj.)近視的、目光短淺的、缺乏遠見的
shot,(n.)射擊、開槍、投籃、拍攝
shoulder,(v.)肩起、挑起、擔負、承擔
shoulder,(n.)肩膀
shout,(n.)呼喊、喊叫聲
shout,(v.)呼叫
shove,(n.)推、撞
shove,(v.)推、撞、亂塞
shovel,(v.)用鐵鍬挖
shovel,(n.)鏟子、鐵鍬
show,(v.)表演、顯示
show,(n.)展覽、電影
shower,(n.)陣雨、淋浴
shower,(v.)傾注、洗淋浴
shred,(v.)切成條狀、用碎紙機撕毀(文件)
shred,(n.)碎片、碎條、破布
shrewd,(adj.)精明的、狡猾的、機靈的
shriek,(n.)尖叫聲
shriek,(v.)尖叫、發出尖聲
shrimp,(n.)蝦子
shrine,(n.)聖壇、神殿
shrink,(v.)縮短、皺縮
shrub,(n.)矮樹、灌木
shrug,(n.)聳肩
shrug,(v.)聳(肩)
shudder,(n.)發抖、戰慄
shudder,(v.)發抖、戰慄
shun,(v.)躲開、迴避
shut,(v.)關閉
shutter,(v.)為...裝遮板(或快門等)、關(店)
shutter,(n.)關閉物、活動遮板、(相機的)快門
shuttle,(n.)(織機的)梭、短程運行的車輛
shuttle,(v.)短程穿梭般運送
shy,(adj.)害羞的
sick,(adj.)生病的
side,(n.)邊
sidewalk,(n.)路邊行人道
siege,(n.)圍攻、包圍、圍城
sigh,(n.)嘆氣、嘆息
sigh,(v.)嘆氣、嘆息
sight,(n.)視力、景象
sight,(v.)看見、發現、瞄準、察看
sightseeing,(n.)觀光、遊覽
sign,(v.)簽字、做信號
sign,(n.)記號
signal,(n.)信號、暗號、交通指示燈
signal,(v.)發信號、打信號
signature,(n.)簽名、簽署
significance,(n.)重要性、重要
significant,(adj.)有意義的
signify,(v.)表示...的意思、意味著
silence,(v.)使沈默、使啞口無言、使安靜
silence,(n.)寂靜
silent,(adj.)寂靜的
silicon,(n.)矽
silk,(n.)蠶絲、絲、絲織物(品)、綢布
silkworm,(n.)蠶
silly,(adj.)傻的、無聊的
silver,(n.)銀
silver,(adj.)銀的、銀白的
similar,(adj.)相似的
similarity,(n.)類似、相似
simmer,(n.)即將沸騰(或爆發)的狀態
simmer,(v.)煨、燉、(危機等)即將爆發
simple,(adj.)簡單的
simplicity,(n.)簡單、單純
simplify,(v.)簡化、精簡、使單純、使平易
simply,(adv.)簡單地、簡易地、簡明地、只不過
simultaneous,(adj.)同時發生的、同步的
sin,(n.)罪孽、罪惡
sin,(v.)犯(罪)
since,(prep.)由於、自從...之後
since,(conj.)自...以來、因為
since,(adv.)此後、之前、以前
sincere,(adj.)誠懇的
sincerity,(n.)真實、誠心誠意
sing,(v.)唱歌
singer,(n.)歌手
single,(adj.)單一的、獨身的
single,(v.)選出、挑出、擊出一壘安打
single,(n.)單的、一壘安打
singular,(adj.)單數的、獨個的
singular,(n.)單數
sink,(n.)洗物槽
sink,(v.)沉下、陷於
sip,(v.)啜飲
sip,(n.)一小口
sir,(n.)先生
sister,(n.)姊妹
sit,(v.)坐
site,(v.)為...選址、設置
site,(n.)地點、場所
situation,(n.)處境、境遇
six,(adj.)六的
six,(n.)六
sixteen,(adj.)十六的
sixteen,(n.)十六
sixty,(n.)六十
sixty,(adj.)六十的
size,(v.)按一定尺寸製作、估算
size,(n.)大小、尺寸
skate,(v.)溜冰
skate,(n.)冰鞋
skeleton,(n.)骨骼、骨瘦如柴的人(或動物)、概略
skeptical,(adj.)懷疑的、多疑的
sketch,(v.)寫生、速寫、為...繪草圖
sketch,(n.)速寫、素描
ski,(n.)滑雪屐
ski,(v.)滑雪
skill,(n.)技能
skilled,(adj.)熟練的、有技能的
skillful,(adj.)有技術的、 熟練的
skim,(v.)去、去除、瀏覽、略讀
skim,(n.)掠過
skin,(n.)皮膚
skin,(v.)植皮、癒合、脫皮
skinny,(adj.)很瘦的
skip,(n.)省略
skip,(v.)略過、漏掉
skirt,(v.)繞開、避開
skirt,(n.)裙子
skull,(n.)頭骨、骷髏畫
sky,(n.)天空
skyscraper,(n.)摩天樓
slam,(v.)猛地關上、砰地放下、打成滿貫
slam,(n.)砰然聲、(撲克牌的)滿貫
slang,(v.)用粗話罵、欺騙、詐取
slang,(n.)slang
slap,(n.)摑、侮辱
slap,(adv.)砰地、猛然地
slap,(v.)摑...耳光、侮辱
slash,(n.)猛砍、亂砍、大幅度削減
slash,(v.)(用刀、劍等)砍、大幅度削減
slaughter,(n.)屠宰、大屠殺
slaughter,(v.)屠宰、屠殺
slave,(n.)奴隸
slave,(v.)奴隸般工作、苦幹
slavery,(n.)奴隸身分、奴役
slay,(v.)殺死、殺害
sled,(n.)平底雪橇
sled,(v.)乘雪橇
sledge,(v.)乘雪橇
sledge,(n.)雪橇
sleep,(n.)睡眠、死亡、冬眠
sleep,(v.)睡覺
sleepy,(adj.)想睡的
sleeve,(n.)袖子、袖套
sleigh,(n.)(輕便)雪橇
sleigh,(v.)駕雪橇、用雪橇運輸
slender,(adj.)纖細的
slice,(v.)切成薄片
slice,(n.)薄片
slide,(n.)滑梯、土崩
slide,(v.)滑壘滑動
slight,(n.)輕蔑、怠慢
slight,(adj.)輕微的、微小的
slight,(v.)輕視、藐視
slim,(adj.)細長的、微小的
slim,(v.)減肥、減少、縮減
slip,(v.)滑動、鬆脫
slip,(n.)滑跤
slipper,(n.)拖鞋
slippery,(adj.)容易滑的、不明確的
slogan,(n.)口號、標語
slope,(n.)傾斜、坡度
sloppy,(adj.)懶散的、草率的
slot,(n.)狹長孔、投幣口、位置、吃角子老虎
slot,(v.)開狹長的孔、把...納入序列中
slow,(adv.)慢慢地、遲遲地、慢了地
slow,(adj.)緩慢的
slow,(v.)使慢、放慢
slum,(n.)貧民窟、陋巷
slum,(v.)去貧民窟
slump,(n.)暴跌、不景氣、消沈
slump,(v.)(沈重地)倒下、(經濟)衰落
sly,(adj.)狡猾的
smack,(n.)滋味、少許、掌摑、咂嘴(聲)、響吻
smack,(adv.)猛然地、砰然作聲地、不偏不倚地
smack,(v.)略有滋味、掌摑、咂(嘴)、響吻
small,(adj.)小的
small,(adv.)小聲地、小小地、細小地
small,(n.)細小的部分、小件物品
smallpox,(n.)天花
smart,(adj.)聰明的
smash,(n.)粉碎、瓦解、(演出等的)成功
smash,(v.)粉碎、瓦解、殺球
smell,(n.)氣味、香味、臭味、嗅覺、一嗅、一聞、少許、跡象、影蹤
smell,(v.)聞
smile,(n.)微笑
smile,(v.)微笑
smog,(n.)煙霧
smoke,(v.)抽煙、冒煙
smoke,(n.)煙
smooth,(adj.)平滑的、光滑的、平坦的
smooth,(v.)光滑地、平滑地
smother,(n.)窒息狀態
smother,(v.)使窒息、悶住(火)、扼殺
smuggle,(v.)走私
snack,(n.)點心
snack,(v.)吃快餐、吃點心
snail,(n.)蝸牛
snake,(n.)蛇
snake,(v.)蛇行
snap,(n.)猛咬、突然折斷、劈啪聲、快照、活力
snap,(v.)突然折斷、用快照拍攝
snare,(v.)(用陷阱等)捕捉、誘...入圈套
snare,(n.)(捕捉鳥、獸的)陷阱、圈套
snarl,(n.)吠、咆哮、纏結
snarl,(v.)吠、咆哮、纏結
snatch,(n.)奪取、抓走
snatch,(v.)奪走、抓住
sneak,(n.)溜走、不告而別
sneak,(v.)偷偷地走、溜
sneaker,(n.)運動鞋
sneaky,(adj.)鬼鬼祟祟的
sneer,(v.)輕蔑地笑、譏諷
sneer,(n.)冷笑、嘲笑
sneeze,(v.)打噴嚏
sneeze,(n.)噴嚏
sniff,(n.)嗅、聞、吸氣聲
sniff,(v.)嗅、用力吸、抽鼻涕
snore,(n.)打鼾、鼾聲
snore,(v.)打鼾
snort,(n.)噴鼻息、噴氣聲
snort,(v.)噴鼻息、輕蔑(或憤怒)地哼
snow,(v.)下雪
snow,(n.)雪
snowy,(adj.)似雪的、多雪的
so,(adv.)這麼、也如此
so,(conj.)因此
soak,(v.)浸泡、使濕透
soak,(n.)浸泡、浸漬
soap,(n.)肥皂
soap,(v.)用肥皂擦洗、向...灌迷魂湯
soar,(v.)往上飛舞、翱翔、暴漲
sob,(v.)嗚咽、啜泣
sob,(n.)嗚咽(聲)、啜泣(聲)
sober,(adj.)清醒的、沒喝醉的、嚴肅的
sober,(v.)使醒酒、使清醒、變得嚴肅
soccer,(n.)足球
sociable,(adj.)好交際的、善交際的
social,(adj.)社會的、交際的
socialism,(n.)社會主義
socialist,(n.)社會主義者
socialize,(v.)交際、社會主義化
society,(n.)社會
sociology,(n.)社會學
sock,(n.)短襪
socket,(n.)插座、插口
soda,(n.)蘇打、汽水
sodium,(n.)鈉
sofa,(n.)沙發
soft,(adj.)柔軟的
soften,(v.)使變柔軟、使變和藹
software,(n.)軟體
soil,(v.)弄髒
soil,(n.)土、泥土、土壤
solar,(adj.)太陽的、日光的
soldier,(n.)軍人
sole,(v.)給(鞋等)裝底(或換底)
sole,(adj.)單獨的、唯一的
sole,(n.)腳底、鞋底、襪底、底部、比目魚
solemn,(adj.)嚴肅的、莊嚴的、鄭重的
solid,(adj.)結實的、堅固的
solidarity,(n.)團結一致
solitary,(adj.)單獨的、唯一的、隱居的
solitary,(n.)獨居者、隱士
